Campeonato: French Ligue 1 2025/26 | Rodada 16 | Data: 2025-12-14 | Horário: 17:15 | Jogo: AJ Auxerre vs Lille OSC
Campeonato: French Ligue 1 2025/26 | Rodada 16 | Data: 2025-12-14 | Horário: 17:15 | Jogo: RC Strasbourg Alsace vs FC Lorient
Campeonato: French Ligue 1 2025/26 | Rodada 16 | Data: 2025-12-14 | Horário: 17:15 | Jogo: Racing Club de Lens vs OGC Nice
Campeonato: French Ligue 1 2025/26 | Rodada 16 | Data: 2025-12-14 | Horário: 20:45 | Jogo: Olympique de Marseille vs AS Monaco FC
Campeonato: French Ligue 1 2025/26 | Rodada 17 | Data: 2026-01-02 | Horário: 20:45 | Jogo: Toulouse FC vs Racing Club de Lens
Campeonato: French Ligue 1 2025/26 | Rodada 17 | Data: 2026-01-03 | Horário: 17:00 | Jogo: AS Monaco FC vs Olympique Lyonnais
Campeonato: French Ligue 1 2025/26 | Rodada 17 | Data: 2026-01-03 | Horário: 19:00 | Jogo: OGC Nice vs RC Strasbourg Alsace
Campeonato: French Ligue 1 2025/26 | Rodada 17 | Data: 2026-01-03 | Horário: 21:05 | Jogo: Lille OSC vs Stade Rennais FC 1901
Campeonato: French Ligue 1 2025/26 | Rodada 17 | Data: 2026-01-04 | Horário: 15:00 | Jogo: Olympique de Marseille vs FC Nantes
Campeonato: French Ligue 1 2025/26 | Rodada 17 | Data: 2026-01-04 | Horário: 17:15 | Jogo: Le Havre AC vs Angers SCO
Campeonato: French Ligue 1 2025/26 | Rodada 17 | Data: 2026-01-04 | Horário: 17:15 | Jogo: FC Lorient vs FC Metz
Campeonato: French Ligue 1 2025/26 | Rodada 17 | Data: 2026-01-04 | Horário: 17:15 | Jogo: Stade Brestois 29 vs AJ Auxerre
Campeonato: French Ligue 1 2025/26 | Rodada 17 | Data: 2026-01-04 | Horário: 20:45 | Jogo: Paris Saint-Germain FC vs Paris FC
Campeonato: French Ligue 1 2025/26 | Rodada 18 | Data: 2026-01-16 | Horário: 19:00 | Jogo: AS Monaco FC vs FC Lorient
Campeonato: French Ligue 1 2025/26 | Rodada 18 | Data: 2026-01-16 | Horário: 21:00 | Jogo: Paris Saint-Germain FC vs Lille OSC
Campeonato: French Ligue 1 2025/26 | Rodada 18 | Data: 2026-01-17 | Horário: 17:00 | Jogo: Racing Club de Lens vs AJ Auxerre
Campeonato: French Ligue 1 2025/26 | Rodada 18 | Data: 2026-01-17 | Horário: 19:00 | Jogo: Toulouse FC vs OGC Nice
Campeonato: French Ligue 1 2025/26 | Rodada 18 | Data: 2026-01-17 | Horário: 21:05 | Jogo: Angers SCO vs Olympique de Marseille
Campeonato: French Ligue 1 2025/26 | Rodada 18 | Data: 2026-01-18 | Horário: 15:00 | Jogo: RC Strasbourg Alsace vs FC Metz
Campeonato: French Ligue 1 2025/26 | Rodada 18 | Data: 2026-01-18 | Horário: 17:15 | Jogo: FC Nantes vs Paris FC
Campeonato: French Ligue 1 2025/26 | Rodada 18 | Data: 2026-01-18 | Horário: 17:15 | Jogo: Stade Rennais FC 1901 vs Le Havre AC
Campeonato: French Ligue 1 2025/26 | Rodada 18 | Data: 2026-01-18 | Horário: 20:45 | Jogo: Olympique Lyonnais vs Stade Brestois 29
Campeonato: French Ligue 1 2025/26 | Rodada 19 | Data: 2026-01-23 | Horário: 20:00 | Jogo: AJ Auxerre vs Paris Saint-Germain FC
Campeonato: French Ligue 1 2025/26 | Rodada 19 | Data: 2026-01-24 | Horário: 17:00 | Jogo: Stade Rennais FC 1901 vs FC Lorient
Campeonato: French Ligue 1 2025/26 | Rodada 19 | Data: 2026-01-24 | Horário: 19:00 | Jogo: Le Havre AC vs AS Monaco FC
Campeonato: French Ligue 1 2025/26 | Rodada 19 | Data: 2026-01-24 | Horário: 21:05 | Jogo: Olympique de Marseille vs Racing Club de Lens
Campeonato: French Ligue 1 2025/26 | Rodada 19 | Data: 2026-01-25 | Horário: 15:00 | Jogo: FC Nantes vs OGC Nice
Campeonato: French Ligue 1 2025/26 | Rodada 19 | Data: 2026-01-25 | Horário: 17:15 | Jogo: FC Metz vs Olympique Lyonnais
Campeonato: French Ligue 1 2025/26 | Rodada 19 | Data: 2026-01-25 | Horário: 17:15 | Jogo: Paris FC vs Angers SCO
Campeonato: French Ligue 1 2025/26 | Rodada 19 | Data: 2026-01-25 | Horário: 17:15 | Jogo: Stade Brestois 29 vs Toulouse FC
Campeonato: French Ligue 1 2025/26 | Rodada 19 | Data: 2026-01-25 | Horário: 20:45 | Jogo: Lille OSC vs RC Strasbourg Alsace
Campeonato: French Ligue 1 2025/26 | Rodada 20 | Data: 2026-01-30 | Horário: 20:45 | Jogo: Racing Club de Lens vs Le Havre AC
Campeonato: French Ligue 1 2025/26 | Rodada 20 | Data: 2026-01-31 | Horário: 17:00 | Jogo: Paris FC vs Olympique de Marseille
Campeonato: French Ligue 1 2025/26 | Rodada 20 | Data: 2026-01-31 | Horário: 19:00 | Jogo: FC Lorient vs FC Nantes
Campeonato: French Ligue 1 2025/26 | Rodada 20 | Data: 2026-01-31 | Horário: 21:05 | Jogo: AS Monaco FC vs Stade Rennais FC 1901
Campeonato: French Ligue 1 2025/26 | Rodada 20 | Data: 2026-02-01 | Horário: 15:00 | Jogo: Olympique Lyonnais vs Lille OSC
Campeonato: French Ligue 1 2025/26 | Rodada 20 | Data: 2026-02-01 | Horário: 17:15 | Jogo: Toulouse FC vs AJ Auxerre
Campeonato: French Ligue 1 2025/26 | Rodada 20 | Data: 2026-02-01 | Horário: 17:15 | Jogo: OGC Nice vs Stade Brestois 29
Campeonato: French Ligue 1 2025/26 | Rodada 20 | Data: 2026-02-01 | Horário: 17:15 | Jogo: Angers SCO vs FC Metz
Campeonato: French Ligue 1 2025/26 | Rodada 20 | Data: 2026-02-01 | Horário: 20:45 | Jogo: RC Strasbourg Alsace vs Paris Saint-Germain FC
Campeonato: French Ligue 1 2025/26 | Rodada 21 | Data: 2026-02-06 | Horário: 20:45 | Jogo: FC Metz vs Lille OSC
Campeonato: French Ligue 1 2025/26 | Rodada 21 | Data: 2026-02-07 | Horário: 17:00 | Jogo: Racing Club de Lens vs Stade Rennais FC 1901
Campeonato: French Ligue 1 2025/26 | Rodada 21 | Data: 2026-02-07 | Horário: 19:00 | Jogo: Stade Brestois 29 vs FC Lorient
Campeonato: French Ligue 1 2025/26 | Rodada 21 | Data: 2026-02-07 | Horário: 21:05 | Jogo: FC Nantes vs Olympique Lyonnais
Campeonato: French Ligue 1 2025/26 | Rodada 21 | Data: 2026-02-08 | Horário: 15:00 | Jogo: OGC Nice vs AS Monaco FC
Campeonato: French Ligue 1 2025/26 | Rodada 21 | Data: 2026-02-08 | Horário: 17:15 | Jogo: Le Havre AC vs RC Strasbourg Alsace
Campeonato: French Ligue 1 2025/26 | Rodada 21 | Data: 2026-02-08 | Horário: 17:15 | Jogo: AJ Auxerre vs Paris FC
Campeonato: French Ligue 1 2025/26 | Rodada 21 | Data: 2026-02-08 | Horário: 17:15 | Jogo: Angers SCO vs Toulouse FC
Campeonato: French Ligue 1 2025/26 | Rodada 21 | Data: 2026-02-08 | Horário: 20:45 | Jogo: Paris Saint-Germain FC vs Olympique de Marseille
